label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1,None,None,,,False,False
input.0,0,None,None,,,False,False
input.PSII,0.004,None,None,,,False,False
input.PSI,0.032,None,$input.PSII*8,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,3.25,None,None,,,False,False
rel.r1,1,None,None,,,False,False
rates.kF,0.000914,2.37E-06,None,,0,False,False
scalem.freerod1,0.3,0.000104841,None,,0,False,False
scalem.freerod2,0.18101598,0.000104841,None,,0,False,True
scale.1,1,4.49E-05,None,,0,False,False
scale.super2ns,1.567810237,4.49E-05,None,,0,False,True
PSIrates.k21,0.02890184,0.000869729,None,0.03,0,False,True
PSIrates.k32,0.002971701,0.000310869,None,,0,False,True
PSIrates.k33,0.000586252,4.35E-05,None,,0,False,True
PBrates.kI2s2,0.003073477,None,None,,0,False,True
PBrates.kI2s1,0.004307478,None,None,,0,False,True
PSIIrates.k21,0.014265491,0.000869729,None,0.02,0,False,True
PSIIrates.k32,0.002804831,0.000310869,None,,0,False,True
PSIIrates.k33,0.00045374,4.35E-05,None,,0,False,True
PBrates.kII2s2,0.001857214,None,None,,0,False,True
PBrates.kII2s1,0.002333049,None,None,,0,False,True
PBrates.k21,0.037103442,None,None,,0,False,True
irf.dispcenter,700,None,None,,,False,False
super1nsirf.disp1,1.816558537,None,None,,,False,True
super1nsirf.disp2,39.08119122,None,None,,,False,True
super2nsirf.disp1,-0.297859807,None,None,,,False,True
super2nsirf.disp2,37.19948262,None,None,,,False,True
super1nsirf.center,111.9015144,None,None,,0,False,True
super2nsirf.center,112.4612669,None,None,,0,False,True
super1nsirf.width1,11.37917741,None,None,,0,False,True
super1nsirf.width2,116.1305168,None,None,,0,False,True
super2nsirf.width1,13.05043177,None,None,,0,False,True
super2nsirf.width2,35.37457956,None,None,,0,False,True
super1nsirf.scale2,0.070982602,None,None,,0,False,True
super2nsirf.scale2,0.395677204,None,None,,0,False,True
PBrates.k11s2,0.018800831,None,None,,0,False,True
PBrates.k21s2,0.01830261,None,$PBrates.k21-$PBrates.k11s2,,0,False,False
scale.PSI1,1,4.49E-05,None,,0,False,True
scale.PSII1,1,4.49E-05,None,,0,False,True
