label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1.0,None,None,,,False,False
input.0,0.0,None,None,,,False,False
area.1,1.0,None,None,,,False,False
area.2,0.7,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1.0,None,None,,,False,False
scalem.1,1.0,None,None,,,False,False
ChlratioPSII.I,0.11532037405971113,0.0020941218428467364,None,0.3,0.1,False,True
FRL410scalem.1,1.0,None,None,,0.0,False,False
FRL410scalem.freerod,0.0,None,None,,0.0,False,False
scale.DA410DG,7919.743957,None,None,,0.0,False,False
scale.FRL410DG,3231.504904746342,3.26566446061514,None,,0.0,False,True
scale.DA610DG,5253.437117694583,78.92981357337608,None,,0.0,False,True
scale.FRL610DG,5651.914475417398,104.23085758458002,None,,0.0,False,True
FRL410DGirf.center,436.3357366,None,None,,0.0,False,False
FRL410DGirf.width,133.9779748,None,None,,0.0,False,False
FRL610DGirf.center,477.8491181,None,None,,0.0,False,False
FRL610DGirf.width,107.9598183,None,None,,0.0,False,False
DA410DGirf.center,418.7379519,None,None,,0.0,False,False
DA410DGirf.width,135.0259636,None,None,,0.0,False,False
DA610DGirf.center,555.4603611,None,None,,0.0,False,False
DA610DGirf.width,104.3961884,None,None,,0.0,False,False
DA410ratesI.k2,0.00011025,None,None,0.04,0.0,False,False
DA410ratesII.k2,0.039999766,None,None,0.04,0.0,False,False
DA610ratesI.k2,0.00011025,None,$DA410ratesI.k2,,0.0,False,False
DA610ratesII.k2,0.039999766,None,$DA410ratesII.k2,0.04,0.0,False,False
FRL410ratesI.k2,0.003526312,None,None,0.05,0.0,False,False
FRL410ratesII.k2,0.026944263,None,None,0.04,0.0,False,False
FRL610ratesI.k2,0.003526312,None,$FRL410ratesI.k2,,0.0,False,False
FRL610ratesII.k2,0.026944263,None,$FRL410ratesII.k2,,0.0,False,False
ratesII.1,0.013963946558248758,0.0002077649320505586,None,0.015,0.003,False,True
ratesII.2,0.002549581854641161,9.21577699956743e-06,None,0.003413804,0.0,False,True
ratesII.3,0.000581403,None,None,,0.00014,False,False
ratesI.1,0.014471117747690936,8.11387107769009e-05,None,0.03,0.0,False,True
ratesI.2,0.002012491364045709,2.852226193856138e-06,None,,0.0,False,True
ratesI.3,0.000720014,None,None,,0.0,False,False
kinetic.1,0.003999999999999999,8.348173480986767e-05,None,0.004,0.002,False,True
kinetic.2,0.091578648,None,None,,,False,False
kinetic.3,0.234251082,None,None,,,False,False
kinetic.out,0.0009999999999999998,0.0001109642265559027,None,0.001,0.0006,False,True
kinetic.1_1,0.002999999999999999,None,$kinetic.1 * $scaling.1,,,False,False
kinetic.2_1,0.068683986,None,$kinetic.2 * $scaling.1,,,False,False
kinetic.3_2,0.001,None,None,,,False,False
scaling.1,0.75,None,None,,,False,False
rates.ToAPC660tFromPC650t,0.009878481565074008,0.00014689040096613334,None,,0.0,False,True
rates.ToPC650tFromAPC660t,0.0007,None,None,,0.0,False,False
rates.ToAPC660eFromPC650e,0.007408861173805506,None,$rates.ToAPC660tFromPC650t * $scaling.1,,0.0,False,False
rates.ToPC650eFromAPC660e,0.0007,None,$rates.ToPC650tFromAPC660t,,0.0,False,False
input610.APC660t_APC660b,24.0,None,None,,,False,False
input610.APC660e,18.0,None,None,,,False,False
input610.APC680,5.377469139,None,None,,0.0,False,False
input610.PC650,23.69845926128471,0.4173260319519398,None,,0.0,False,True
input410.APC660t_APC660b,24.0,None,None,,,False,False
input410.APC660e,18.0,None,None,,,False,False
input410.APC680,5.377469139,None,None,,0.0,False,False
input410.PC650,72.0,None,None,,,False,False
input410.PSI1,5686.532204391292,191.1006812255358,None,,0.0,False,True
input410.PSII1,655.7730209129975,None,$input410.PSI1*$ChlratioPSII.I,,0.0,False,False
input610.PSI1,35.60994911834286,0.6196610753783705,None,,0.0,False,True
input610.PSII1,4.106552652574579,None,$input610.PSI1*$ChlratioPSII.I,,0.0,False,False
ChlratioPSII.IDG,0.1,None,None,,0.0,False,False
scale.650,1630.9239464680277,40.37300597874742,None,,0.0,False,True
scale.660,2508.053010346121,22.245997039813883,None,,0.0,False,True
scale.680,2508.053010346121,None,$scale.660,,0.0,False,False
FRLinput610.APC660t_APC660b,24.0,None,None,,,False,False
FRLinput610.APC660e,18.0,None,None,,,False,False
FRLinput610.APC680,5.377469139,None,None,,0.0,False,False
FRLinput610.PC650,59.43271473728712,1.0634238930806885,None,,0.0,False,True
FRLinput410.APC660t_APC660b,24.0,None,None,,,False,False
FRLinput410.APC660e,18.0,None,None,,,False,False
FRLinput410.APC680,5.377469139,None,None,,0.0,False,False
FRLinput410.PC650,72.0,None,None,,,False,False
FRLinput410.PSI1,3401.8823876504657,975.4962617581846,None,,0.0,False,True
