label,value,standard_error,expression,maximum,minimum,non_negative,vary
factor.stateIrelstateII,1,None,None,,0,False,False
input400n.APC660t_APC660b,24,None,None,,,False,False
input400n.APC660e,18,None,None,,,False,False
input400n.APC680,6,None,None,,,False,False
input400n.PC650,36,None,None,,,False,False
input400n.PC640,18,None,None,,,False,False
input.0,0,None,None,,,False,False
input400.PSIbulk,10,None,None,,0,False,False
input400.PSIred,0.6,None,$input400.PSIbulk*0.06,,,False,False
input580.APC660t_APC660b,24,None,None,,,False,False
input580.APC660e,18,None,None,,,False,False
input580.APC680,6,None,None,,,False,False
input580.PC650,36,None,None,,,False,False
input580.PC640,36,None,None,,,False,False
input580.PSIbulk,0.486316376,1.04771538,None,,,False,True
input580.PSIred,0.029178983,None,$input580.PSIbulk*0.06,,,False,False
irfdPSII400.center,856.105139,0.01373079,None,,0,False,True
irfdPSII400.width1,3.669155087,0.009334515,None,,0,False,True
irfdPSII400.width2,150.8039898,3.809747785,None,,0,False,True
irfdPSII400.scale1,1,None,None,,,False,False
irfdPSII400.scale2,0.081673109,0.001137999,None,,0,False,True
irfdPSII580.center,856.0007985,0.016144711,None,,0,False,True
irfdPSII580.width1,3.706866814,0.009788364,None,,0,False,True
irfdPSII580.width2,303.2551267,39.54959395,None,,0,False,True
irfdPSII580.scale1,1,None,None,,,False,False
irfdPSII580.scale2,0.053194277,0.003092357,None,,0,False,True
irfPBS580.center,855.9844752,0.016972081,None,,0,False,True
irfPBS580.width1,3.734966265,0.010784476,None,,0,False,True
irfPBS580.width2,343.5892579,15.42623483,None,,0,False,True
irfPBS580.scale1,1,None,None,,,False,False
irfPBS580.scale2,0.074219893,0.000723199,None,,,False,True
irf.dispc,700,None,None,,,False,False
irf.disp1,-2.925745297,0.059602127,None,,,False,True
irf.disp2,0.95987978,0.069072433,None,,,False,True
irf.backsweep,13150,None,None,,,False,False
kinetic.1,0.007223385,5.54E-05,None,,,False,True
kinetic.2,0.091578648,None,None,,,False,False
kinetic.3,0.234251082,None,None,,,False,False
kinetic.out,0.001542387,None,None,,,False,False
kinetic.outPB,0.0009,None,None,,,False,False
kinetic.1_1,0.005417539,None,$kinetic.1 * $scaling.1,,,False,False
kinetic.2_1,0.068683986,None,$kinetic.2 * $scaling.1,,,False,False
kinetic.3_2,0.070275325,None,$kinetic.3 * $scaling.2,,,False,False
rates.ToPC650FromPC640,0.068871088,None,None,,0,False,False
rates.ToPC640FromPC650,0.007277252,None,None,,0,False,False
rates.ToAPC660bFromPC650b,0.011779758,None,None,,0,False,True
rates.ToPC650bFromAPC660b,0.00155151,None,None,,0,False,True
rates.ToAPC660eFromPC650e,0.008834818,None,$rates.ToAPC660bFromPC650b * $scaling.1,,0,False,False
rates.ToPC650eFromAPC660e,0.00155151,None,$rates.ToPC650bFromAPC660b,,0,False,False
rates.Chl,0.0005,None,None,,0,False,False
rates.freerod,0.0006,None,None,,0,False,False
rates.PSItrap,0.0571068,0.00047771,None,,0,False,True
rates.ToPSIbulkFromPSIred,0.169471924,0.002089676,None,,0,False,True
rates.ToPSIredFromPSIbulk,0.113556127,0.002801528,None,,0,False,True
rates.ToPSIIbulkFromAPC680,0.05,0.000467215,None,0.05,0,False,True
scaling.1,0.75,None,None,,,False,False
scaling.2,0.3,None,None,,,False,False
area.PC,1,None,None,,,False,False
area.PSIbulk,1.4,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scale.dPSII400,1,None,None,,,False,False
scale.dPSII532,0.424112449,0.017406079,None,,,False,True
scale.dPSII540,0.775640164,0.032295993,None,,,False,True
scale.dPSII580,1.961025167,0.084761554,None,,,False,True
scale.guide_APC680,0.575893562,0.026050094,None,,0,False,True
scale.guide_PBAPC680,0.575893562,None,$scale.guide_APC680,,0,False,False
scale.PBS580,2.728217198,0.124479677,None,,,False,True
scalem.1,1,None,None,,0,False,False
scalem.dPSII400freePBS,0.667668004,0.002893727,None,,0,False,True
scalem.dPSII400freerod,0.12650685,0.002672296,None,,0,False,True
scalem.dPSII532freePBS,0.598093401,0.004643235,None,,0,False,True
scalem.dPSII532freerod,0.420699896,0.008720429,None,,0,False,True
scalem.dPSII540freePBS,0.525164339,0.003328916,None,,0,False,True
scalem.dPSII540freerod,0.313906694,0.006136697,None,,0,False,True
scalem.dPSII580freePBS,0.726509714,0.002731597,None,,0,False,True
scalem.dPSII580freerod,0.338135118,0.004401252,None,,0,False,True
scale.guide_APC660,0.580680025,0.026983758,None,,0,False,True
scale.guide_PBAPC660,0.580680025,None,$scale.guide_APC660,,0,False,False
scale.guide_PC650,0.492919301,0.02229573,None,,0,False,True
scale.guide_PBPC650,0.492919301,None,$scale.guide_PC650,,0,False,False
scale.guide_PC640,0.71835988,0.032352747,None,,0,False,True
scale.guide_PBPC640,0.71835988,None,$scale.guide_PC640,,0,False,False
rates.ToPSIbulkFromAPC680,0.05,0.000681863,$rates.ToPSIIbulkFromAPC680*$factor.stateIrelstateII,,0,False,True
rates.ToPSIIbulkFromPSIIRP,0.205623762,0.049086394,None,0.25,0,False,True
rates.ToPSIIRPFromPSIIbulk,0.25,0.050665465,None,0.25,0,False,True
rates.PSIIRP,0.002884322,0.00015847,None,,0,False,True
ChlratioPSII.I,0.137,0.00437362,None,0.3,0.05,False,False
inputWT400.PSIbulk,482.2959751,3.994901741,None,,0,False,True
inputWT400.PSIred,28.93775851,None,$inputWT400.PSIbulk*0.06,,,False,False
inputWT400.PSIIbulk,66.07454859,None,$inputWT400.PSIbulk*$ChlratioPSII.I,,0,False,False
inputWT580.PSIbulk,31.58519213,0.701463941,None,,0,False,True
inputWT580.PSIred,1.895111528,None,$inputWT580.PSIbulk*0.06,,,False,False
inputWT580.PSIIbulk,4.327171321,None,$inputWT580.PSIbulk*$ChlratioPSII.I,,0,False,False
scale.WT400,1.066263565,0.046343902,None,,,False,True
scale.WT532,0.690330304,0.031642643,None,,,False,True
scale.WT540,0.68198361,0.029833281,None,,,False,True
scale.WT580,4.824818132,0.211877392,None,,,False,True
scalem.WT400freePBS,0.374306795,0.006619411,None,,0,False,True
scalem.WT400freerod,1.135568095,0.005894517,None,,0,False,True
scalem.WT532freePBS,0.121144584,0.00360304,None,,0,False,True
